Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,Length
1736948817.1238809,17.248.209.129,10.59.108.55,443,63281,6,298
1736948817.124104,10.59.108.55,17.248.209.129,63281,443,6,66
1736948817.1303449,10.59.108.55,17.248.209.129,63281,443,6,130
1736948817.1306381,10.59.108.55,17.248.209.129,63281,443,6,455
1736948817.142147,17.248.209.129,10.59.108.55,443,63281,6,66
1736948817.1482508,17.248.209.129,10.59.108.55,443,63281,6,298
1736948817.148478,10.59.108.55,17.248.209.129,63281,443,6,66
1736948817.16942,10.59.108.55,35.186.224.24,51587,443,6,54
1736948817.1861482,35.186.224.24,10.59.108.55,443,51587,6,66
1736948817.259547,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948817.296857,10.59.104.59,239.255.255.250,48469,1900,17,210
1736948817.329448,10.59.107.232,224.0.0.251,5353,5353,17,81
1736948817.330318,10.59.107.232,224.0.0.251,5353,5353,17,119
1736948817.4168031,10.59.108.208,239.255.255.250,60624,1900,17,167
1736948818.250485,10.59.109.0,10.59.255.255,58976,51007,17,186
1736948818.969835,10.59.108.55,51.104.15.252,51604,443,6,179
1736948818.9700701,10.59.108.55,51.104.15.252,51604,443,6,1494
1736948818.970311,10.59.108.55,51.104.15.252,51604,443,6,589
1736948819.0125592,51.104.15.252,10.59.108.55,443,51604,6,66
1736948819.0153909,51.104.15.252,10.59.108.55,443,51604,6,165
1736948819.015567,10.59.108.55,51.104.15.252,51604,443,6,66
1736948819.016222,10.59.108.55,51.104.15.252,51604,443,6,101
1736948819.039449,10.59.108.228,224.0.0.251,5353,5353,17,93
1736948819.0473301,10.59.107.187,224.0.0.251,5353,5353,17,152
1736948819.1041899,51.104.15.252,10.59.108.55,443,51604,6,66
1736948819.105458,10.59.108.106,239.255.255.250,56403,1900,17,167
1736948819.26129,10.59.108.55,10.59.107.93,51642,8009,6,78
1736948819.2990751,10.59.104.59,224.0.0.251,5353,5353,17,82
1736948819.3045938,10.59.107.187,224.0.0.251,5353,5353,17,365
1736948819.312858,10.59.108.228,224.0.0.251,5353,5353,17,299
1736948819.718109,10.59.108.55,2.19.198.51,51612,443,6,54
1736948819.747529,10.59.107.119,224.0.0.251,5353,5353,17,87
1736948819.748429,2.19.198.51,10.59.108.55,443,51612,6,66
1736948819.855593,10.59.104.18,224.0.0.251,5353,5353,17,272
1736948819.887309,10.59.108.55,2.19.198.51,51619,443,6,54
1736948819.897144,2.19.198.51,10.59.108.55,443,51619,6,66
1736948819.945128,10.59.108.55,2.19.198.51,51618,443,6,54
1736948819.9590988,2.19.198.51,10.59.108.55,443,51618,6,66
1736948820.013234,10.59.108.55,13.107.42.18,51615,443,6,54
1736948820.025088,13.107.42.18,10.59.108.55,443,51615,6,60
1736948820.034959,10.59.109.245,10.59.255.255,57621,57621,17,86
1736948820.036191,10.59.108.55,2.19.198.51,51616,443,6,54
1736948820.056187,2.19.198.51,10.59.108.55,443,51616,6,66
1736948820.0852349,10.59.108.55,2.19.198.51,51614,443,6,54
1736948820.09218,10.59.108.55,2.19.198.51,51617,443,6,54
1736948820.101147,2.19.198.51,10.59.108.55,443,51614,6,66
1736948820.108245,10.59.108.55,2.19.198.51,51620,443,6,54
1736948820.109356,2.19.198.51,10.59.108.55,443,51617,6,66
1736948820.123234,2.19.198.51,10.59.108.55,443,51620,6,66
1736948820.154649,10.59.108.55,10.59.107.93,51441,8009,6,54
1736948820.227735,10.59.108.55,13.107.42.18,51611,443,6,54
1736948820.2595809,13.107.42.18,10.59.108.55,443,51611,6,60
1736948820.648062,10.59.108.55,13.107.6.175,51622,443,6,54
1736948820.68113,13.107.6.175,10.59.108.55,443,51622,6,60
1736948821.055647,10.59.108.55,199.232.196.193,51624,443,6,54
1736948821.068358,10.59.108.55,108.177.15.188,64931,5228,6,54
1736948821.086426,10.59.108.233,224.0.0.251,5353,5353,17,218
1736948821.0929961,199.232.196.193,10.59.108.55,443,51624,6,66
1736948821.1058109,108.177.15.188,10.59.108.55,5228,64931,6,66
1736948821.107069,10.59.108.55,10.59.255.255,57621,57621,17,86
1736948821.169546,10.59.108.55,2.19.198.51,51613,443,6,54
1736948821.182966,2.19.198.51,10.59.108.55,443,51613,6,66
1736948821.236657,10.59.108.55,10.59.108.233,5353,5353,17,393
1736948821.299433,10.59.104.59,224.0.0.251,5353,5353,17,82
1736948821.4407601,10.59.109.85,224.0.0.251,5353,5353,17,136
1736948821.943062,10.59.108.233,224.0.0.251,5353,5353,17,304
1736948822.007812,10.59.108.55,17.248.209.129,63281,443,6,129
1736948822.0084338,10.59.108.55,17.248.209.129,63281,443,6,424
1736948822.0092502,10.59.108.55,17.248.209.129,63281,443,6,130
1736948822.010407,10.59.108.55,17.248.209.129,63281,443,6,613
1736948822.0881112,10.59.108.233,224.0.0.251,5353,5353,17,152
